"","FeatureName","FeatureType","DateCode","Waste.Management","Tonnes"
"165","City of Edinburgh","Council Area",2016,"Landfilled",103589.8
"166","Clackmannanshire","Council Area",2016,"Landfilled",7887.4
"167","Dumfries and Galloway","Council Area",2016,"Landfilled",31975.1
"168","Dundee City","Council Area",2016,"Landfilled",4638.4
"169","East Ayrshire","Council Area",2016,"Landfilled",20436.7
"170","East Dunbartonshire","Council Area",2016,"Landfilled",22858
"171","East Lothian","Council Area",2016,"Landfilled",24450.9
"172","East Renfrewshire","Council Area",2016,"Landfilled",17922.9
"173","Falkirk","Council Area",2016,"Landfilled",23722.9
"174","Fife","Council Area",2016,"Landfilled",76955.3
"175","Glasgow City","Council Area",2016,"Landfilled",156337.1
"176","Highland","Council Area",2016,"Landfilled",71732.8
"177","Inverclyde","Council Area",2016,"Landfilled",12770
"178","Midlothian","Council Area",2016,"Landfilled",14079.4
"179","Moray","Council Area",2016,"Landfilled",21252.7
"180","Na h-Eileanan Siar","Council Area",2016,"Landfilled",9423.1
"181","North Ayrshire","Council Area",2016,"Landfilled",26615
"182","North Lanarkshire","Council Area",2016,"Landfilled",69410
"183","Orkney Islands","Council Area",2016,"Landfilled",2880
"184","Perth and Kinross","Council Area",2016,"Landfilled",27008.4
"185","Renfrewshire","Council Area",2016,"Landfilled",20245.3
"186","Scottish Borders","Council Area",2016,"Landfilled",30701.9
"187","Shetland Islands","Council Area",2016,"Landfilled",2256.1
"188","South Ayrshire","Council Area",2016,"Landfilled",22320.4
"189","South Lanarkshire","Council Area",2016,"Landfilled",71715.1
"190","Stirling","Council Area",2016,"Landfilled",12200.7
"191","West Dunbartonshire","Council Area",2016,"Landfilled",18868.8
"192","West Lothian","Council Area",2016,"Landfilled",33952.3
"193","Aberdeen City","Council Area",2017,"Landfilled",31624
"194","Aberdeenshire","Council Area",2017,"Landfilled",69921.3
"195","Angus","Council Area",2017,"Landfilled",13366.6
"196","Argyll and Bute","Council Area",2017,"Landfilled",23578.1
"197","City of Edinburgh","Council Area",2017,"Landfilled",113236.7
"198","Clackmannanshire","Council Area",2017,"Landfilled",8137.9
"199","Dumfries and Galloway","Council Area",2017,"Landfilled",31725.1
"200","Dundee City","Council Area",2017,"Landfilled",4017
"201","East Ayrshire","Council Area",2017,"Landfilled",20941.2
"202","East Dunbartonshire","Council Area",2017,"Landfilled",23107
"203","East Lothian","Council Area",2017,"Landfilled",23499.5
"204","East Renfrewshire","Council Area",2017,"Landfilled",14146.3
"205","Falkirk","Council Area",2017,"Landfilled",24419.3
"206","Fife","Council Area",2017,"Landfilled",68786
"207","Glasgow City","Council Area",2017,"Landfilled",150942.9
"208","Highland","Council Area",2017,"Landfilled",71965.9
"209","Inverclyde","Council Area",2017,"Landfilled",10265.3
