FeatureCode,city,FeatureType,date,births,deaths,rate
S12000041,Angus,Council Area,2019,965,7,7.25388601
S12000035,Argyll and Bute,Council Area,2019,631,9,14.26307448
S12000036,City of Edinburgh,Council Area,2019,"4,683",65,13.87999146
S12000005,Clackmannanshire,Council Area,2019,414,6,14.49275362
S12000006,Dumfries and Galloway,Council Area,2019,"1,153",16,13.87684302
S12000042,Dundee City,Council Area,2019,"1,417",32,22.58292167
S12000008,East Ayrshire,Council Area,2019,"1,176",10,8.503401361
S12000045,East Dunbartonshire,Council Area,2019,910,7,7.692307692
S12000010,East Lothian,Council Area,2019,973,5,5.138746146
S12000011,East Renfrewshire,Council Area,2019,808,7,8.663366337
S12000014,Falkirk,Council Area,2019,"1,460",15,10.2739726
S12000047,Fife,Council Area,2019,"3,325",70,21.05263158
S12000049,Glasgow City,Council Area,2019,"6,553",93,14.19197314
S12000017,Highland,Council Area,2019,"1,966",12,6.103763988
S12000018,Inverclyde,Council Area,2019,615,4,6.504065041
S12000019,Midlothian,Council Area,2019,"1,057",4,3.784295175
S12000020,Moray,Council Area,2019,816,7,8.578431373
S12000013,Na h-Eileanan Siar,Council Area,2019,200,0,0
S12000021,North Ayrshire,Council Area,2019,"1,124",16,14.23487544
S12000050,North Lanarkshire,Council Area,2019,"3,438",40,11.63467132
S12000023,Orkney Islands,Council Area,2019,182,0,0
S12000048,Perth and Kinross,Council Area,2019,"1,197",15,12.53132832
S12000038,Renfrewshire,Council Area,2019,"1,693",27,15.94802126
S12000026,Scottish Borders,Council Area,2019,916,6,6.550218341
S12000027,Shetland Islands,Council Area,2019,205,2,9.756097561
S12000028,South Ayrshire,Council Area,2019,837,5,5.973715651
S12000029,South Lanarkshire,Council Area,2019,"3,109",21,6.754583467
S12000030,Stirling,Council Area,2019,737,10,13.56852103
S12000039,West Dunbartonshire,Council Area,2019,845,14,16.56804734
S12000040,West Lothian,Council Area,2019,"1,798",18,10.01112347
S12000033,Aberdeen City,Council Area,2020,"2,007",26,12.95465869
S12000034,Aberdeenshire,Council Area,2020,"2,287",24,10.49409707
S12000041,Angus,Council Area,2020,860,30,34.88372093
S12000035,Argyll and Bute,Council Area,2020,592,12,20.27027027
S12000036,City of Edinburgh,Council Area,2020,"4,548",55,12.09322779
S12000005,Clackmannanshire,Council Area,2020,444,4,9.009009009
S12000006,Dumfries and Galloway,Council Area,2020,"1,137",6,5.277044855
S12000042,Dundee City,Council Area,2020,"1,287",16,12.43201243
S12000008,East Ayrshire,Council Area,2020,"1,113",10,8.984725966
S12000045,East Dunbartonshire,Council Area,2020,884,13,14.70588235
S12000010,East Lothian,Council Area,2020,960,12,12.5
S12000011,East Renfrewshire,Council Area,2020,797,6,7.528230866
S12000014,Falkirk,Council Area,2020,"1,432",20,13.96648045
S12000047,Fife,Council Area,2020,"3,144",49,15.58524173
S12000049,Glasgow City,Council Area,2020,"5,867",80,13.63558889
S12000017,Highland,Council Area,2020,"1,866",26,13.9335477
S12000018,Inverclyde,Council Area,2020,615,8,13.00813008
S12000019,Midlothian,Council Area,2020,979,3,3.064351379
